N;Formato;Famiglia;Spessore mm;Toll. verde ±;Toll. gialla ±;Larghezza/Lato/Ø mm;Toll. largh. ±;Uova per kg farina;Tipo farina;Forza W;Idratazione %;Tempo impasto min;Riposo minimo min;Riposo ottimale min;Temp. lavorazione °C;Temp. ambiente rilevata °C;Umidità ambiente %;Peso ripieno g;Toll. peso ±;Giri e pieghe;Temp. burro °C;Riposo tra i giri min;Pezzi per kg;Scarto atteso %;Cottura min;Cottura °C;Errore più frequente;Conseguenza dell'errore;Come si riconosce a occhio;Come si recupera;Rilevato da (RP/BG/GPC);Data rilevazione;Rilevazione n (1/2/3);Stato (BOZZA/VALIDATA);Seconda firma
1;Tagliatella;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
1;Tagliatella;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
1;Tagliatella;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
2;Tagliolino;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
2;Tagliolino;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
2;Tagliolino;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
3;Pappardella;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
3;Pappardella;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
3;Pappardella;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
4;Maltagliato;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
4;Maltagliato;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
4;Maltagliato;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
5;Quadretto per brodo;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
5;Quadretto per brodo;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
5;Quadretto per brodo;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
6;Sfoglia per lasagna;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
6;Sfoglia per lasagna;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
6;Sfoglia per lasagna;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
